Company-Name,Founded in,Ownership,India Employee count,Global Employee count,Headquarters,Office Locations,CEO,Founders,Type of Company,Nature of Business,Company Email ID,Company Contact no.,Social Media Presence,Website,Details,Reviews,Salaries,Interviews,Jobs,Benefits
TCS,1968 (55 yrs old),Public,1 Lakh+,1 Lakh+,"Mumbai, Maharashtra, India",Lucknow|Ahmedabad|Hyderabad/Secunderabad,Rajesh Gopinathan,,Indian MNC,Service|B2B,,,https://www.facebook.com/tataconsultancyservices|https://twitter.com/tcs|https://www.youtube.com/@tcsglobal,https://www.tcs.com/,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +322 more,69.2k,848.2k,5.8k,576,11.4k
Accenture,1989 (34 yrs old),Public,1 Lakh+,1 Lakh+,"Dublin, Ireland",New Delhi|Noida,Fabio Benasso,,Foreign MNC,Service|B2B,,,https://www.facebook.com/AccentureIndia|https://twitter.com/accentureindia|https://www.youtube.com/@Accenture,https://www.accenture.com,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +160 more,43.9k,578.3k,4.1k,6.9k,7k
Cognizant,1994 (29 yrs old),Private,1 Lakh+,1 Lakh+,"Teaneck. New Jersey., United States (USA)",Hyderabad/Secunderabad|Mangaluru|Coimbatore,Ravi Kumar S,,Foreign MNC,Product|Service|B2C,,,https://www.facebook.com/Cognizant/|https://twitter.com/Cognizant?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor|https://www.youtube.com/@cognizant,https://www.cognizant.com/,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +140 more,39.5k,557.8k,3.4k,548,5.8k
Wipro,1945 (78 yrs old),Public,1 Lakh+,10k-50k,"Bangalore/Bengaluru, Karnataka, India",Hyderabad/Secunderabad|Mysuru/Mysore|Lucknow,Anis Chenchah,,Indian MNC,Service|B2B,info@wipro.com,8028440011.0,https://www.facebook.com/WiproLimited/|https://twitter.com/Wipro|https://www.youtube.com/user/Wiprovideos,https://www.wipro.com,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +266 more,36.9k,410.8k,3.4k,332,4.9k
HDFC Bank,1994 (29 yrs old),Public,1 Lakh+,1 Lakh+,"Mumbai, Maharashtra, India",New Delhi|Bengaluru/Bangalore|Mumbai,Sashidhar Jagdishan,,Corporate,B2C|B2B,,,https://www.facebook.com/HDFC.bank/|https://www.linkedin.com/company/hdfc-bank/|https://twitter.com/HDFC_Bank|https://www.youtube.com/@hdfcbank,http://www.hdfcbank.com,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1476 more,31.8k,129.7k,1.5k,492,3.2k
ICICI Bank,1994 (29 yrs old),Public,1 Lakh+,1 Lakh+,"Mumbai, Maharashtra, India",Hyderabad/Secunderabad|New Delhi|Ajmer,Sandeep Bakhshi,,Indian MNC,Product|Service|B2C,,,https://www.facebook.com/icicibank|https://twitter.com/ICICIBank|https://youtube.com/@icicibank,https://www.icicibank.com/,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1235 more,31.7k,142.7k,1.8k,216,3.7k
Infosys,1981 (42 yrs old),Public,1 Lakh+,1 Lakh+,"Bengaluru/Bangalore, Karnataka, India",Mysuru/Mysore|Hyderabad/Secunderabad|Mangaluru,Salil Parekh,,Indian MNC,Service|B2B,,,https://www.facebook.com/Infosys|https://twitter.com/Infosys|https://www.youtube.com/@Infosys,https://www.infosys.com/,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +160 more,30k,462.1k,4.6k,985,5.1k
Capgemini,1967 (56 yrs old),Public,1 Lakh+,1 Lakh+,"Paris, France",Hyderabad/Secunderabad|Chennai|Navi Mumbai,Ashwin Yardi,,Foreign MNC,Service|B2B,,,https://www.facebook.com/capgeminiindia/|https://twitter.com/capgeminiindia|https://www.youtube.com/c/capgeminiglobal/featured|https://www.instagram.com/capgeminiindia/,http://www.capgemini.com/in-en/,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +111 more,27.9k,372.1k,2.3k,882,3.9k
HCLTech,1991 (32 yrs old),Public,1 Lakh+,1 Lakh+,"Noida, Uttar Pradesh,",Hyderabad/Secunderabad|Lucknow|Chandigarh,C Vijayakumar,,Indian MNC,B2B,,,https://www.facebook.com/hcltechnologies|https://www.linkedin.com/company/hcl-technologies/|https://twitter.com/hcltech|https://www.youtube.com/hcltechnologies|https://www.instagram.com/hcltech/,https://www.hcltech.com/,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +172 more,26.7k,286.7k,2.4k,671,4k
Tech Mahindra,1986 (37 yrs old),Public,1 Lakh+,1 Lakh+,"Pune, Maharashtra, India",Hyderabad/Secunderabad|Bhubaneswar|Chandigarh,CP Gurnani,,Corporate,Service|B2B,EK00824968@TechMahindra.com,9560591402.0,https://www.facebook.com/TechMahindra|https://twitter.com/Tech_Mahindra|https://www.youtube.com/user/techmahindra09,https://www.techmahindra.com/en-in/,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +251 more,26k,250.9k,2.3k,1.2k,3.5k
Genpact,1997 (26 yrs old),Public,1 Lakh+,1 Lakh+,"New York, New York, United States (USA)",Hyderabad/Secunderabad|New Delhi,Hailey Eichner,,Corporate,B2C|B2B,,,https://www.facebook.com/ProudToBeGenpact/|https://twitter.com/genpact|https://www.youtube.com/@GenpactGlobal,http://www.genpact.com,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +97 more,24.9k,189.2k,1.8k,1.1k,3.6k
Axis Bank,1993 (30 yrs old),Public,50k-1 Lakh,50k-1 Lakh,"Mumbai, Maharashtra, India",Ahmedabad|Mumbai,Amitabh Chaudhry,,Indian MNC,B2C|B2B,,,https://www.facebook.com/axisbank|https://www.linkedin.com/company/axis-bank|https://twitter.com/AxisBank|https://www.youtube.com/@AxisBank,https://www.axisbank.com/,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1261 more,20.8k,97.3k,1k,320,2.2k
Concentrix Corporation,1983 (40 yrs old),Public,50k-1 Lakh,,"Fremont, California, United States (USA)",,Chris Caldwell,,Foreign MNC,Service|B2B,,,https://www.facebook.com/ConcentrixIN/|https://www.linkedin.com/company/concentrix/|https://twitter.com/concentrixind|https://www.youtube.com/playlist?list=PLdywZJqyZrW1mhhDgSk9PHVQ2T_Hf0tKc|https://www.instagram.com/concentrixindia/,http://www.concentrix.com,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +103 more,20.6k,103.5k,1k,112,3.2k
Amazon,1994 (29 yrs old),Public,1 Lakh+,1 Lakh+,"Seattle,Washington, United States",Hyderabad/Secunderabad|Chennai|Bengaluru/Bangalore,Andy Jassy,,Foreign MNC,Product|B2C|B2B,,,https://www.facebook.com/AmazonIN/|https://www.linkedin.com/company/amazon/|https://twitter.com/amazonIN|https://www.youtube.com/@amazon|https://www.instagram.com/amazon/,https://www.amazon.in/,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +419 more,19.8k,140.6k,3.2k,672,4.2k
Teleperformance,1978 (45 yrs old),Private,50k-1 Lakh,1 Lakh+,"Paris, France",,Anish Mukker,,Foreign MNC,B2C|B2B,,,https://www.youtube.com/@TeleperformanceIndiaOfficial,http://www.teleperformance.com,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +161 more,19.5k,74.4k,1.1k,294,1.9k
Reliance Jio,2007 (16 yrs old),Public,50k-1 Lakh,1 Lakh+,"Navi Mumbai, Maharashtra, India",Dumka|Noida,Kiran Thomas,,Corporate,Product|Service|B2C,,,https://www.facebook.com/Jio|https://twitter.com/reliancejio|https://www.youtube.com/@jio,http://www.jio.com,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1116 more,19k,67.7k,1.1k,153,2.6k
IBM,1911 (112 yrs old),Public,1 Lakh+,1 Lakh+,"Armonk,New York, United States",Hyderabad/Secunderabad|New Delhi|Pune,Arvind Krishna,,Foreign MNC,Service|B2B|SaaS,,,https://www.facebook.com/LifeAtIBM.India/|https://www.linkedin.com/company/ibm/|https://twitter.com/ibm_in|https://www.youtube.com/@IBM,https://www.ibm.com/,Software Product | 1 Lakh+ Employees | Public | 112 years old | Armonk +141 more,18.9k,224k,1.4k,3.9k,2.7k
Larsen & Toubro Limited,1938 (85 yrs old),Public,10k-50k,50k-1 Lakh,"Mumbai, Maharashtra, India",Ahmedabad|Hyderabad/Secunderabad|Lucknow,S.N Subrahmanyan,,Indian MNC,Service|B2B,,,https://www.facebook.com/pages/category/Company/Larsen-Toubro-Ltd-721998567834399/|https://twitter.com/larsentoubro?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor|https://www.youtube.com/larsentoubrogroup,https://www.larsentoubro.com/,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +610 more,17.7k,78.1k,1k,187,2.9k
Reliance Retail,2006 (17 yrs old),Private,1 Lakh+,1 Lakh+,"Navi Mumbai, Maharashtra, India",Hyderabad/Secunderabad|Mumbai,Damodar Mall,,Corporate,Service|B2C,customerservice@ril.com,18008910001.0,https://www.facebook.com/relianceretaillimited/|https://twitter.com/rilretail?lang=en|https://www.youtube.com/@reliancedigital,https://relianceretail.com/,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +944 more,17.3k,57.2k,1.1k,249,2k
HDB Financial Services,2007 (16 yrs old),Private,1 Lakh+,1 Lakh+,"Ahmedabad, Gujrat, India",Bhilai Nagar|Guwahati,Jitendra Prajapati,,Corporate,Service|B2C|B2B,,,https://www.facebook.com/HDBFinancialServices/|https://www.linkedin.com/company/hdb-financial-services-ltd|https://twitter.com/hdbfsl|https://www.youtube.com/@HDBFinancialServicesLtd,http://www.hdbfs.com/,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +916 more,16.7k,49.4k,545,74,1.5k
Vodafone Idea,2018 (5 yrs old),Public,5k-10k,10k-50k,"Mumbai, Maharashtra, India",Mumbai,Akshaya Moondra,,Indian MNC,B2C|B2B,,,https://www.facebook.com/ViOfficialFanWorld/|https://twitter.com/vicustomercare,http://myvi.in,5k-10k Employees | Public | 5 years old | Mumbai +618 more,14.8k,61.6k,423,344,2k
BYJU'S,2011 (12 yrs old),Private,10k-50k,,"Bangalore,Karnataka, India",New Delhi|Bengaluru/Bangalore,Byju Raveendran,,Corporate,Product|B2C,,,https://facebook.com/byjuslearningapp|https://linkedin.com/company/byjus|https://twitter.com/byjus|https://www.youtube.com/@byjusclasses,https://byjus.com/,EdTech | 10k-50k Employees | Indian Unicorn | 12 years old | Bangalore +298 more,13.9k,55.5k,1.8k,915,1.9k
Deloitte,1845 (178 yrs old),Private,1 Lakh+,1 Lakh+,"London, United Kingdom, United States (USA)",Ahmedabad|Hyderabad/Secunderabad|Pune,Romal Shetty,,Foreign MNC,Service|B2B,,,https://www.facebook.com/deloitteindia|https://twitter.com/deloitteindia|https://www.youtube.com/@deloitte,https://www2.deloitte.com/in/en.html,Management Consulting | 1 Lakh+ Employees | 178 years old | London +152 more,13.7k,172.9k,1.6k,289,2.5k
Kotak Mahindra Bank,2003 (20 yrs old),Public,50k-1 Lakh,50k-1 Lakh,"Mumbai, Maharashtra, India",Lucknow|Bilaspur,Uday Kotak,,Indian MNC,Service|B2C|B2B,,,https://www.facebook.com/KotakBank/|https://www.linkedin.com/company/kotak-mahindra-bank/?originalSubdomain=in|https://twitter.com/kotakbankltd?lang=en|https://www.youtube.com/@KotakBankLtd,https://www.kotak.com/,Banking | 50k-1 Lakh Employees | Public | 20 years old | Mumbai +541 more,13.3k,77.3k,692,317,1.3k
Reliance Industries,1977 (46 yrs old),Public,,,"Navi Mumbai, Maharashtra, India",Mumbai,,,Indian MNC,B2C|B2B,,,https://www.facebook.com/RelianceIndustriesLimited/|https://twitter.com/relianceindltd?lang=en|https://www.youtube.com/@RelianceUpdates,https://www.ril.com/,Oil & Gas | Public | 46 years old | Navi Mumbai +619 more,12.6k,65.9k,892,35,1.9k
Bharti Airtel,1995 (28 yrs old),Public,10k-50k,10k-50k,"Gurgaon/Gurugram, Haryana, India",New Delhi|Shimla|Jaipur,Adarsh Sreekumar Nair,,Indian MNC,Product|B2C|B2B,,,https://www.facebook.com/airtelindia/|https://twitter.com/airtelindia?ref_src=twsrc%5egoogle%7ctwcamp%5eserp%7ctwgr%5eauthor|https://www.youtube.com/@airtel|https://www.instagram.com/airtelindia/?hl=en,https://www.airtel.in/,Telecom | 10k-50k Employees | Public | 28 years old | Gurgaon/Gurugram +631 more,11.6k,44.5k,547,310,1.6k
Tata Motors,1945 (78 yrs old),Public,10k-50k,50k-1 Lakh,"Pune, Maharashtra, India",Hyderabad/Secunderabad|Ahmedabad,Mr. Guenter Butschek,,Indian MNC,B2C|B2B,,,https://www.facebook.com/TataMotorsGroup/|https://www.linkedin.com/company/tata-motors|https://twitter.com/TataMotors|https://www.youtube.com/@tatamotors,http://www.tatamotors.com,Automobile | 10k-50k Employees | Public | 78 years old | Pune +439 more,10.6k,42.6k,709,18,1.7k
iEnergizer,2000 (23 yrs old),Private,10k-50k,1 Lakh+,"Noida, Uttar Pradesh, India",Noida|Bengaluru/Bangalore,,,Corporate,B2C|B2B,info@iEnergizer.com,8588894888.0,https://www.facebook.com/ienergizer-359360680778908|https://www.linkedin.com/company/ienergizer/mycompany/|https://twitter.com/ienergizerindia|https://www.youtube.com/channel/ucjqgouncxbgdjjwxf78wtuw|https://www.instagram.com/ienergizerofficial/,https://www.ienergizer.com/,BPO | 10k-50k Employees | 23 years old | Noida +25 more,10.3k,17.4k,292,97,507
Flipkart,2007 (16 yrs old),Public,10k-50k,10k-50k,"Bangalore,Karnataka, India",Visakhapatnam|Nagpur|Bengaluru/Bangalore,Kalyan Krishnamurthy,,Corporate,Product|B2C,,,https://www.facebook.com/flipkart|https://www.linkedin.com/company/flipkart/|https://twitter.com/flipkart|https://youtube.com/c/flipkart,https://www.flipkart.com/,Internet | 10k-50k Employees | Public | 16 years old | Bangalore +513 more,9.3k,46.7k,971,470,1.5k
WNS,1996 (27 yrs old),Private,10k-50k,10k-50k,"Mumbai, Maharashtra, India",Chennai|Visakhapatnam|Navi Mumbai,Keshav R Murugesh,,Corporate,Service|B2B,,,https://www.facebook.com/wnsglobalservices/|https://twitter.com/wnsholdings|https://www.youtube.com/@wnsglobalservices,https://www.wns.com/,BPO | 10k-50k Employees | 27 years old | Mumbai +33 more,9.1k,54.1k,693,186,1.4k
IndusInd Bank,1994 (29 yrs old),Public,10k-50k,,"Gurgaon/Gurugram, Haryana, India",Ahmedabad|Chennai|Thiruvananthapuram,Romesh Sobti,,Indian MNC,Service|B2C,,,https://www.facebook.com/OfficialIndusIndBankPage/|https://www.linkedin.com/company/indusind-bank/?originalSubdomain=in|https://twitter.com/MyIndusIndBank?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor|https://www.youtube.com/@indusindbank,http://www.indusind.com,Banking | 10k-50k Employees | Public | 29 years old | Gurgaon/Gurugram +652 more,8.6k,46.7k,400,252,800
Mahindra & Mahindra,1945 (78 yrs old),Public,1 Lakh+,1 Lakh+,"Mumbai, Maharashtra, India",Chandigarh|Nagpur,CP Gurnani,,Indian MNC,B2C|B2B,,,https://www.facebook.com/MahindraRise/|https://www.linkedin.com/company/mahindragroup|https://twitter.com/mahindrarise|https://www.youtube.com/c/MahindraRise,https://www.mahindra.com/,Automobile | 1 Lakh+ Employees | Public | 78 years old | Mumbai +464 more,8.4k,37.9k,451,96,1.2k
Ernst & Young,2002 (21 yrs old),Private,50k-1 Lakh,1 Lakh+,"London, England",Ahmedabad|Hyderabad/Secunderabad|Chandigarh,Carmine Di Sibio,,Foreign MNC,Service|B2B,,,https://www.youtube.com/@ernstyoung,http://www.ey.com,Management Consulting | 50k-1 Lakh Employees | 21 years old | London +95 more,8.4k,122.2k,736,1.8k,1.3k
AU Small Finance Bank,1996 (27 yrs old),Private,10k-50k,10k-50k,"Jaipur, Rajasthan, India","Jaipur, Rajasthan, India",Sanjay Agarwal,,Corporate,Service|B2C,,,https://www.linkedin.com/company/aubank|https://twitter.com/aubankindia|https://www.youtube.com/@AUSmallFinanceBank,https://www.aubank.in/,Banking | 10k-50k Employees | Fortune India 500 | 27 years old | Jaipur +394 more,8.3k,17.8k,289,173,486
Infosys BPM,2002 (21 yrs old),,10k-50k,10k-50k,"Bangalore/Bengaluru, Karnataka, India",Chennai,Anantha Radhakrishnan,,Indian MNC,B2B,infosysbpm@infosys.com,,https://www.facebook.com/infosysbpm|https://twitter.com/infosysbpm|https://www.youtube.com/c/infosysbpm|https://www.instagram.com/infosysbpm/,https://www.infosysbpm.com/,BPO | 10k-50k Employees | 21 years old | Bangalore/Bengaluru +61 more,7.9k,57.2k,644,65,1.1k
DXC Technology,2017 (6 yrs old),Public,10k-50k,1 Lakh+,"Minato,Tokyo, Japan",,,,Foreign MNC,Service|B2B,,,https://www.facebook.com/DXCTechnology|https://www.linkedin.com/company/dxctechnology/|https://twitter.com/dxctechnology|https://www.youtube.com/@DXCTechnology,https://www.dxc.com,IT Services & Consulting | 10k-50k Employees | Public | 6 years old | Minato +70 more,7.8k,82.5k,541,141,1.1k
IDFC FIRST Bank,2018 (5 yrs old),Public,10k-50k,10k-50k,"Mumbai, Maharashtra, India","Mumbai, Maharashtra, India",Sunil Kakar,,Corporate,B2C|B2B,,,https://www.facebook.com/idfcfirstbank/|https://www.linkedin.com/company/idfcfirstbank/|https://twitter.com/IDFCFIRSTBank |https://www.youtube.com/@idfcfirstbank2931,https://www.idfcfirstbank.com/,Banking | 10k-50k Employees | Public | 5 years old | Mumbai +543 more,7.6k,38.7k,409,79,718
Conneqt Business Solutions,2002 (21 yrs old),Private,10k-50k,10k-50k,"Mumbai, Maharashtra, India","Mumbai, Maharashtra, India",Mohammad Ashraf,,Corporate,B2B,,,https://www.linkedin.com/company/conneqtcorp|https://www.youtube.com/@conneqtbusiness1539,http://www.conneqtcorp.com,BPO | 10k-50k Employees | 21 years old | Mumbai +196 more,7.3k,25k,300,55,797
HDFC Life,2000 (23 yrs old),Public,10k-50k,10k-50k,"Mumbai, Maharashtra, India",Hyderabad/Secunderabad|Mangaluru|Patna,Ms. Vibha Padalkar,,Corporate,B2C|B2B,,,https://www.linkedin.com/company/hdfc-life/|https://twitter.com/hdfclife|https://www.youtube.com/@hdfclife,http://www.hdfclife.com,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +527 more,7.2k,25.7k,345,120,634
LTIMindtree,1999 (24 yrs old),Public,50k-1 Lakh,,"Bangalore/Bengaluru, Karnataka, India",Hyderabad/Secunderabad|Chennai|Bhubaneswar,Debashis Chatterjee,,Indian MNC,Service|B2B,,8067064000.0,https://www.facebook.com/MindtreeLtd/|https://www.linkedin.com/company/mindtree-ltd-|https://twitter.com/Mindtree_Ltd|https://www.youtube.com/@TheMindtreeLTD,https://www.ltimindtree.com/,IT Services & Consulting | 50k-1 Lakh Employees | Public | 24 years old | Bangalore/Bengaluru +46 more,7.1k,93.2k,872,37,848
Bajaj Finserv,2007 (16 yrs old),Public,10k-50k,10k-50k,"Pune,Maharashtra, India",Hyderabad/Secunderabad|Ahmedabad,Sanjiv Bajaj,,Corporate,Service|B2C|B2B,,,https://www.facebook.com/bajajfinserv/|https://www.linkedin.com/company/bajaj-finserv-lending/|https://twitter.com/Bajaj_Finserv|https://www.youtube.com/@bajajfinserv,https://www.bajajfinserv.in/,Insurance | 10k-50k Employees | Public | 16 years old | Pune +827 more,6.8k,25k,325,44,743
Mphasis,1998 (25 yrs old),Public,10k-50k,10k-50k,"Bangalore/Bengaluru, Karnataka, India",Hyderabad/Secunderabad|Mangaluru|Chennai,Nitin Rakesh,,Indian MNC,Service|B2B,,,https://www.facebook.com/MphasisOfficial/|https://twitter.com/mphasis|https://www.youtube.com/mphasisofficial|https://www.instagram.com/mphasiscareers/,http://Www.Mphasis.com,IT Services & Consulting | 10k-50k Employees | Public | 25 years old | Bangalore/Bengaluru +44 more,6.6k,63.6k,460,77,872
HSBC Group,2002 (21 yrs old),Private,10k-50k,1 Lakh+,"Pune, Maharashtra, India",Hyderabad/Secunderabad|New Delhi|Chennai,,,Foreign MNC,B2C|B2B,,,https://www.youtube.com/@hsbc,https://www.hsbc.com/,Banking | 10k-50k Employees | Forbes Global 2000 | 21 years old | Pune +56 more,6.6k,61.1k,347,26,1.2k
PwC,1880 (143 yrs old),Partnership,10k-50k,1 Lakh+,"London, United Kingdom, United Kingdom (UK)",Ahmedabad|Hyderabad/Secunderabad|Chennai,,,Foreign MNC,B2B,,,https://www.facebook.com/PwC/|https://twitter.com/pwc|https://www.youtube.com/@PwC,https://www.pwc.com/,Management Consulting | 10k-50k Employees | Conglomerate | 143 years old | London +86 more,6.5k,81.2k,755,542,861
Samsung,1938 (85 yrs old),Public,5k-10k,5k-10k,"Seoul, South Korea",New Delhi|Nagpur|Noida,"Koh, Dong Jin",,Foreign MNC,Product|Service|Innovation Labs,,,https://www.facebook.com/SamsungIndia/|https://in.linkedin.com/company/samsung-india|https://twitter.com/samsungindia|https://www.youtube.com/@Samsung,https://www.samsung.com/in/,Consumer Electronics & Appliances | 5k-10k Employees | Public | 85 years old | Seoul +493 more,6.5k,21.5k,335,257,561
Hinduja Global Solutions,2000 (23 yrs old),Public,10k-50k,10k-50k,"Bangalore/Bengaluru, Karnataka, India",Mysuru/Mysore|Hyderabad/Secunderabad|Visakhapatnam,Venkatesh Korla,,Indian MNC,Service|B2C|B2B,talk2us@teamhgs.com,8046431000.0,https://www.facebook.com/hgsind/|https://www.linkedin.com/company/458327/|https://twitter.com/LifeAtHGS/|https://www.youtube.com/channel/UCkldAVugtD7vNfN0lhZfuyQ|https://www.instagram.com/lifeathgs,http://joinhgs.com,IT Services & Consulting | 10k-50k Employees | Public | 23 years old | Bangalore/Bengaluru +91 more,6.5k,25.6k,167,26,1k
Startek,2017 (6 yrs old),Public,10k-50k,10k-50k,"Mumbai, Maharashtra, India",,,,Corporate,Service|B2C|B2B,,,,https://www.startek.com/,BPO | 10k-50k Employees | Public | 6 years old | Mumbai +66 more,6.5k,22.7k,306,37,701
Ericsson,1876 (147 yrs old),Private,10k-50k,1 Lakh+,"Stockholm,Stockholm County, Sweden",Pune|Kolkata|Bengaluru/Bangalore,Börje Ekholm,,Foreign MNC,Product|Service|B2C,,,https://www.facebook.com/ericsson/|https://twitter.com/Ericsson|https://www.youtube.com/@ericsson|https://www.instagram.com/ericssoncareers/,https://www.ericsson.com/,10k-50k Employees | Forbes Global 2000 | 147 years old | Stockholm +142 more,6.3k,45k,257,75,1k
Maruti Suzuki,1981 (42 yrs old),Public,10k-50k,10k-50k,"New Delhi, Delhi, India",New Delhi|Guwahati|Ranchi,Kenichi Ayukawa,,Indian MNC,Product|B2C,,,https://www.facebook.com/msarenaofficial/?ref=page_internal|https://twitter.com/Maruti_Corp|https://www.youtube.com/@MarutiSuzukiCorp,http://www.marutisuzuki.com/,Automobile | 10k-50k Employees | Public | 42 years old | New Delhi +348 more,6.2k,25.7k,424,25,1.1k
Yes Bank,2004 (19 yrs old),Public,10k-50k,10k-50k,"Mumbai, Maharashtra, India",New Delhi|Chennai|Kolkata,Prashant Kumar,,Corporate,Service|B2C|B2B,,,https://www.facebook.com/YESBANK/|https://www.linkedin.com/company/yes-bank|https://twitter.com/yesbank|https://www.youtube.com/@yesbank,http://www.yesbank.in,Banking | 10k-50k Employees | Public | 19 years old | Mumbai +425 more,6k,40.9k,284,21,629
Asian Paints,1942 (81 yrs old),Public,5k-10k,5k-10k,"Mumbai, Maharashtra, India",Hyderabad/Secunderabad|Ahmedabad,Mr. K B S Anand,,Indian MNC,Product|B2C|B2B,,,https://www.facebook.com/asianpaints|https://www.linkedin.com/company/asian-paints/|https://twitter.com/asianpaints|https://www.youtube.com/@asianpaints,https://www.asianpaints.com/,Chemicals | 5k-10k Employees | Public | 81 years old | Mumbai +390 more,6k,21.1k,441,100,902
